title,author,length
Why Women Deserve Less,Myron Gaines, 2 hrs and 3 mins
Defiance of the Fall 9,"TheFirstDefier,JF Brink", 22 hrs and 34 mins
Earth Force Boxset: The Complete Series (Books 1-3),Shemer Kuznits, 45 hrs and 21 mins
My Dark Romeo,"L.J. Shen,Parker S. Huntington", 12 hrs and 29 mins
Magical Midlife Alliance,K.F. Breene, 11 hrs and 26 mins
"Right Man, Right Time",Meghan Quinn, 12 hrs and 39 mins
Dark Angel,John Sandford, 11 hrs and 7 mins
The Exchange,John Grisham, 11 hrs and 30 mins
Brutal Billionaire,Laurelin Paige, 13 hrs and 9 mins
Murtagh,Christopher Paolini, 18 hrs
House Wolf,Tom Elliot, 16 hrs and 8 mins
Selena,Cebelius, 9 hrs and 1 min
Flirting with Forever,Claire Kingsley, 8 hrs and 56 mins
"One Nation Under Blackmail, Vol. 1",Whitney Alyse Webb, 18 hrs and 16 mins
Ambrosia,C.N. Crawford, 8 hrs and 50 mins
The Medici Manuscript,C.J. Archer, 7 hrs and 59 mins
Simply Lies,David Baldacci, 11 hrs and 45 mins
The Captain,Will Wight, 11 hrs and 24 mins
Goal,Alexandria House, 6 hrs and 12 mins
Never Saw You Coming,S L Scott, 9 hrs and 49 mins
